Year,Job Category,Job Title,Salary (USD),Country Code,Location Group,Experience Level,Employment Type,Work Model
2023,Data Scientist,Data Scientist,188200,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,180500,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,96200,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Data Analyst,75000,United States,Global,Entry-level,Full-time,On-site
2023,Data Analyst,Data Analyst,47500,United States,Global,Entry-level,Full-time,On-site
2023,Data Scientist,Data Scientist,201700,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,146600,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,133000,United States,Global,Mid-level,Full-time,On-site
2023,Data Engineer,Data Engineer,58400,United States,Global,Mid-level,Full-time,On-site
2023,Manager/Lead,Data Manager,144300,United States,Global,Senior-level,Full-time,Remote
2023,Manager/Lead,Data Manager,104800,United States,Global,Senior-level,Full-time,Remote
2023,Data Analyst,Data Analytics Lead,115920,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Data Analytics Lead,84000,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Data Analyst,146850,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Data Analyst,106800,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Data Analyst,133000,United States,Global,Mid-level,Full-time,On-site
2023,Data Analyst,Data Analyst,58300,United States,Global,Mid-level,Full-time,On-site
2023,Data Scientist,Data Science,137300,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Science,59200,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,165000,United States,Global,Mid-level,Full-time,On-site
2023,Data Engineer,Data Engineer,147500,United States,Global,Mid-level,Full-time,On-site
2023,Data Scientist,Data Scientist,130410,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,92000,United States,Global,Senior-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,156150,United States,Global,Senior-level,Full-time,Remote
2023,ML/AI Engineer,Machine Learning Engineer,113400,United States,Global,Senior-level,Full-time,Remote
2023,Data Scientist,Data Scientist,226000,United States,Global,Senior-level,Full-time,Remote
2023,Data Scientist,Data Scientist,211000,United States,Global,Senior-level,Full-time,Remote
2023,Data Scientist,Data Scientist,197500,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,132500,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Data Analyst,109000,United States,Global,Mid-level,Full-time,On-site
2023,Data Analyst,Data Analyst,62000,United States,Global,Mid-level,Full-time,On-site
2023,Data Engineer,Data Engineer,110000,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,70000,United States,Global,Senior-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,238000,United States,Global,Senior-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,176000,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,151250,United States,Global,Senior-level,Full-time,Remote
2023,Data Engineer,Data Engineer,96800,United States,Global,Senior-level,Full-time,Remote
2023,Other,Data Specialist,109000,United States,Global,Mid-level,Full-time,On-site
2023,Other,Data Specialist,62000,United States,Global,Mid-level,Full-time,On-site
2023,Data Scientist,Data Scientist,162000,United States,Global,Mid-level,Full-time,On-site
2023,Data Scientist,Data Scientist,108000,United States,Global,Mid-level,Full-time,On-site
2023,Data Analyst,Business Intelligence Analyst,189000,United States,Global,Mid-level,Full-time,Remote
2023,Data Analyst,Business Intelligence Analyst,118100,United States,Global,Mid-level,Full-time,Remote
2023,ML/AI Engineer,Machine Learning Engineer,126000,United States,Global,Entry-level,Full-time,Remote
2023,ML/AI Engineer,Machine Learning Engineer,93000,United States,Global,Entry-level,Full-time,Remote
2023,Data Scientist,Data Science,160000,United States,Global,Senior-level,Full-time,Remote
2023,Data Scientist,Data Science,150000,United States,Global,Senior-level,Full-time,Remote
2023,Data Scientist,Director of Data Science,237500,United States,Global,Executive-level,Full-time,On-site
